ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,176.46,-0.35,724764,955813.0,0.76,176.074,174.234,161.432,57.2,2.913,0.96,1.52,182.26,140.78,182.26,164.26,,,,,False,25,17,4,7,3,7,7,70,BON,Achat - position standard,vert clair,172.09,183.74,2026-07-17
AIR.PA,Airbus,Aéronautique,194.32,-0.66,976991,1090658.0,0.9,196.379,194.845,183.813,52.2,4.716,0.92,2.21,221.3,157.42,210.95,187.12,,,,9.0,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,187.25,206.11,2026-07-17
ALO.PA,Alstom,Industrie,15.7,-1.29,1178063,1711221.0,0.69,15.638,15.753,20.206,46.6,0.457,0.99,2.82,30.23,14.72,16.87,14.93,,,,,False,0,20,4,7,8,4,7,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.02,16.85,2026-07-17
MT.AS,ArcelorMittal,Matériaux,57.98,0.07,2978244,1990981.0,1.5,57.351,56.655,47.343,55.0,2.173,1.0,3.62,62.6,26.35,59.64,51.24,,4.0,,,False,25,20,12,7,4,7,7,82,EXCELLENT,Achat fort - position pleine,vert,54.72,63.41,2026-07-17
CS.PA,AXA,Assurance,44.8,0.67,2634313,2881968.0,0.91,44.266,43.665,40.529,71.3,0.576,0.97,1.24,44.8,36.55,44.8,42.27,,,haussière,0.0,False,25,3,6,7,6,7,7,61,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.94,46.24,2026-07-17
BNP.PA,BNP Paribas,Banque,101.94,-0.97,1604730,1794114.0,0.89,101.793,100.876,88.433,56.7,2.069,1.04,1.83,103.6,65.12,103.6,97.31,,,,9.0,False,25,17,6,7,3,7,7,72,BON,Achat - position standard,vert clair,98.84,107.11,2026-07-17
EN.PA,Bouygues,BTP/Télécom,47.78,0.17,582595,910251.0,0.64,47.586,48.046,46.725,45.6,0.901,0.97,1.75,53.48,35.39,50.56,45.7,,,,7.0,False,12,20,4,7,8,4,7,62,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,46.43,50.03,2026-07-17
CAP.PA,Capgemini,Technologie,91.32,0.11,634070,681330.0,0.93,91.194,91.848,111.735,46.9,3.536,0.98,3.57,153.05,86.2,95.3,86.52,,,,,False,0,20,6,7,4,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,86.02,100.16,2026-07-17
CA.PA,Carrefour,Distribution,16.78,1.51,2128888,2285403.0,0.93,16.507,16.399,15.338,57.5,0.347,0.94,1.86,17.53,11.94,16.88,15.62,,6.0,haussière,0.0,False,25,17,6,7,8,7,7,77,BON,Achat - position standard,vert clair,16.26,17.65,2026-07-17
ACA.PA,Crédit Agricole,Banque,17.78,-0.75,3766906,4523306.0,0.83,17.699,17.559,16.98,57.7,0.287,0.98,1.52,19.15,15.29,17.95,16.97,,,,9.0,False,25,17,6,7,4,7,7,73,BON,Achat - position standard,vert clair,17.35,18.5,2026-07-17
