ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,166.78,-0.16,600383,708698.0,0.85,168.921,170.846,163.538,34.9,2.26,0.86,1.12,182.26,140.78,178.12,166.4,,,,2.0,False,12,15,6,7,6,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.39,172.43,2026-08-19
AIR.PA,Airbus,Aéronautique,208.05,-0.83,600124,969971.0,0.62,211.543,209.348,188.931,51.1,4.336,0.87,1.71,221.3,157.42,217.05,202.5,,,,,False,25,20,8,7,3,4,7,74,BON,Achat - position standard,vert clair,201.55,218.89,2026-08-19
ALO.PA,Alstom,Industrie,15.88,0.47,887128,1106261.0,0.8,16.106,16.156,19.424,45.0,0.383,0.87,2.16,30.23,14.72,17.05,15.3,,1.0,,,False,0,20,6,7,3,4,7,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,15.3,16.83,2026-08-19
MT.AS,ArcelorMittal,Matériaux,62.24,0.81,1172547,1505942.0,0.78,62.822,61.796,50.141,55.1,1.968,0.94,2.98,65.24,27.42,65.24,56.78,,,,,False,25,17,4,7,3,7,7,70,BON,Achat - position standard,vert clair,59.29,67.16,2026-08-19
CS.PA,AXA,Assurance,43.98,-1.28,2447157,2260686.0,1.08,44.603,44.616,41.386,42.2,0.552,0.97,1.13,45.66,36.55,45.66,43.98,baissier,0.0,baissière,0.0,False,12,20,6,7,3,0,7,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.15,45.36,2026-08-19
BNP.PA,BNP Paribas,Banque,106.78,-2.39,1881786,1605981.0,1.17,110.21,109.208,92.58,45.4,1.975,0.92,1.56,113.82,65.12,113.82,103.46,,,,9.0,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,103.82,111.72,2026-08-19
EN.PA,Bouygues,BTP/Télécom,46.7,0.11,384503,549793.0,0.7,47.428,47.745,46.947,40.1,0.855,0.91,1.8,53.48,35.39,50.2,46.0,,4.0,,,False,8,20,4,7,3,4,7,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,45.42,48.84,2026-08-19
CAP.PA,Capgemini,Technologie,110.35,2.84,387873,673195.0,0.58,107.385,104.247,109.935,63.7,3.901,0.98,3.42,153.05,85.62,111.85,85.62,,,,,False,20,17,10,7,10,7,7,78,BON,Achat - position standard,vert clair,104.5,120.1,2026-08-19
CA.PA,Carrefour,Distribution,15.77,-0.79,1184590,2003048.0,0.59,15.794,15.905,15.457,45.3,0.281,0.79,1.31,17.53,11.94,16.91,15.22,,,,,False,12,20,4,8,8,4,7,63,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.35,16.47,2026-08-19
ACA.PA,Crédit Agricole,Banque,19.17,-2.59,5878135,4099050.0,1.43,19.679,19.305,17.421,51.9,0.321,1.05,1.57,20.4,15.29,20.4,18.0,,,,5.0,False,25,20,2,7,3,4,7,68,BON,Achat - position standard,vert clair,18.68,19.97,2026-08-19
BN.PA,Danone,Agroalimentaire,65.68,0.31,902570,1341964.0,0.67,66.746,67.956,69.436,36.3,1.323,0.91,1.71,80.14,60.64,72.72,64.84,,,,2.0,False,0,15,4,7,6,4,7,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,63.7,68.99,2026-08-19
DSY.PA,Dassault Systèmes,Technologie,22.24,1.55,1853109,2043479.0,0.91,21.635,20.983,21.241,64.9,0.685,0.96,2.82,30.36,15.82,22.43,17.56,,,,8.0,False,20,17,6,7,10,7,7,74,BON,Achat - position standard,vert clair,21.21,23.95,2026-08-19
EDEN.PA,Edenred,Services,29.06,3.09,413181,652725.0,0.63,28.364,27.773,22.924,65.0,0.761,0.93,2.33,29.5,15.23,29.5,25.16,,,,,False,25,10,10,7,6,7,7,72,BON,Achat - position standard,vert clair,27.92,30.96,2026-08-19
ENGI.PA,Engie,Énergie,25.36,-1.13,2081187,3017812.0,0.69,25.892,26.264,25.358,35.0,0.528,0.92,1.97,29.89,17.2,27.93,25.32,,,baissière,0.0,False,12,15,4,7,3,0,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,24.57,26.68,2026-08-19
EL.PA,EssilorLuxottica,Santé/Optique,163.45,-0.27,546330,711797.0,0.77,164.814,166.42,204.468,43.7,4.884,0.95,2.94,323.8,159.2,176.6,159.2,,4.0,,2.0,False,0,20,4,7,6,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,156.12,175.66,2026-08-19
ERF.PA,Eurofins Scientific,Santé,70.66,1.44,210639,211723.0,0.99,69.945,69.44,64.723,59.6,1.371,0.86,1.57,74.32,54.86,71.14,64.56,,,,,False,25,17,6,7,10,7,7,79,BON,Achat - position standard,vert clair,68.6,74.09,2026-08-19
RMS.PA,Hermès,Luxe,1582.5,1.41,64564,95784.0,0.67,1584.356,1600.07,1807.753,46.4,46.212,0.89,2.46,2300.0,1465.5,1705.0,1465.5,,,,,False,0,20,4,7,6,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1513.18,1698.03,2026-08-19
KER.PA,Kering,Luxe,260.05,1.7,209211,330971.0,0.63,266.862,267.57,259.941,45.7,9.316,0.95,2.91,354.2,217.05,293.5,236.2,baissier,0.0,,,False,12,20,4,7,3,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,246.08,283.34,2026-08-19
OR.PA,L'Oréal,Cosmétiques,382.55,1.9,431749,304084.0,1.42,380.342,381.644,374.876,50.8,8.174,0.98,2.15,408.35,338.85,401.0,366.1,,2.0,,,False,12,20,12,7,6,4,7,68,BON,Achat - position standard,vert clair,370.29,402.98,2026-08-19
LR.PA,Legrand,Industrie,134.85,-0.22,398777,556468.0,0.72,138.103,138.11,138.376,42.3,3.711,0.94,2.53,166.95,121.95,143.8,125.7,baissier,0.0,,,False,0,20,8,7,4,4,7,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,129.28,144.13,2026-08-19
MC.PA,LVMH,Luxe,456.0,1.84,450881,534377.0,0.84,460.697,468.746,506.643,40.2,12.13,0.89,2.28,654.7,440.0,496.35,444.15,,,,2.0,False,0,20,6,7,6,4,7,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,437.8,486.33,2026-08-19
ML.PA,Michelin,Industrie,34.09,0.21,943137,1671743.0,0.56,34.398,34.444,32.253,45.8,0.59,0.88,1.52,35.72,25.51,35.48,33.46,,1.0,,,False,12,20,4,7,3,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,33.21,35.56,2026-08-19
ORA.PA,Orange,Télécom,16.14,-0.25,4102020,4091872.0,1.0,16.247,16.332,16.179,45.1,0.328,0.88,1.77,18.81,13.07,17.52,15.83,,,,,False,8,20,6,7,3,4,7,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.65,16.96,2026-08-19
RI.PA,Pernod Ricard,Boissons,68.12,-0.09,536155,639282.0,0.84,68.351,67.65,71.568,54.3,1.613,0.88,2.19,107.45,58.6,71.14,61.16,,,,,False,3,20,6,7,3,7,7,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,65.7,72.15,2026-08-19
PUB.PA,Publicis,Communication,101.55,-0.44,503247,622399.0,0.81,99.945,96.907,85.766,68.9,2.233,0.89,2.12,103.1,68.14,103.1,85.02,,,,3.0,False,25,10,6,7,4,7,7,66,BON,Achat - position standard,vert clair,98.2,107.13,2026-08-19
RNO.PA,Renault,Automobile,29.19,2.1,1161311,1291828.0,0.9,28.531,28.032,30.39,65.9,0.683,0.86,2.3,37.97,24.66,29.21,25.46,,,haussière,0.0,False,3,10,6,7,8,7,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,28.17,30.9,2026-08-19
SAF.PA,Safran,Aéronautique,349.1,-1.13,490577,495272.0,0.99,355.382,350.725,311.309,51.5,8.134,0.91,1.94,366.5,262.6,366.5,316.9,,,,7.0,False,25,20,6,7,3,7,7,75,BON,Achat - position standard,vert clair,336.9,369.43,2026-08-19
